Fecha;Day of Max.Fecha;Cantidad Pruebas;Confirmados en albergues;Confirmados Total;Fallecidos;Internados Generales;Internados UTI;Recuperados
3/7/2020;December 3, 2021;1;0;1;0;0;0;0
3/8/2020;December 3, 2021;0;0;0;0;0;0;0
3/9/2020;December 3, 2021;0;0;0;0;0;0;0
3/10/2020;December 3, 2021;8;0;4;0;3;2;0
3/11/2020;December 3, 2021;7;0;0;0;0;0;0
3/12/2020;December 3, 2021;6;0;1;0;0;0;0
3/13/2020;December 3, 2021;17;0;1;0;0;0;0
3/14/2020;December 3, 2021;15;0;0;0;0;0;0
3/15/2020;December 3, 2021;33;0;1;0;0;0;0
3/16/2020;December 3, 2021;27;0;1;0;0;0;0
3/17/2020;December 3, 2021;26;0;2;0;0;0;0
3/18/2020;December 3, 2021;24;0;0;0;0;0;0
3/19/2020;December 3, 2021;32;0;2;0;0;0;0
3/20/2020;December 3, 2021;44;0;5;1;0;0;0
3/21/2020;December 3, 2021;68;0;4;0;0;0;0
3/22/2020;December 3, 2021;37;0;0;0;0;0;0
3/23/2020;December 3, 2021;89;0;5;1;0;0;0
3/24/2020;December 3, 2021;91;0;10;1;2;0;0
3/25/2020;December 3, 2021;51;0;4;0;4;0;0
3/26/2020;December 3, 2021;78;0;11;0;4;0;1
3/27/2020;December 3, 2021;101;0;4;0;4;0;0
3/28/2020;December 3, 2021;60;0;3;0;4;0;0
3/29/2020;December 3, 2021;105;0;5;0;4;0;0
3/30/2020;December 3, 2021;68;0;1;0;4;0;0
3/31/2020;December 3, 2021;90;0;4;0;4;0;0
4/1/2020;December 3, 2021;95;0;8;0;5;0;2
4/2/2020;December 3, 2021;116;0;15;0;5;0;3
4/3/2020;December 3, 2021;165;0;4;0;5;0;6
4/4/2020;December 3, 2021;192;0;8;0;8;2;0
4/5/2020;December 3, 2021;200;2;9;2;8;2;0
4/6/2020;December 3, 2021;162;0;2;0;6;1;3
4/7/2020;December 3, 2021;212;0;4;0;6;2;0
4/8/2020;December 3, 2021;242;1;5;0;6;2;3
4/9/2020;December 3, 2021;223;0;5;1;5;1;0
4/10/2020;December 3, 2021;220;0;4;0;3;1;0
4/11/2020;December 3, 2021;230;0;1;0;3;1;4
4/12/2020;December 3, 2021;259;0;13;0;3;1;0
4/13/2020;December 3, 2021;248;0;12;1;3;1;0
4/14/2020;December 3, 2021;246;1;2;1;4;0;1
4/15/2020;December 3, 2021;379;0;13;0;4;0;7
4/16/2020;December 3, 2021;345;9;25;0;5;0;0
4/17/2020;December 3, 2021;338;0;3;0;6;0;5
4/18/2020;December 3, 2021;304;0;4;0;7;0;6
4/19/2020;December 3, 2021;247;2;2;0;10;0;5
4/20/2020;December 3, 2021;377;0;0;0;10;0;7
4/21/2020;December 3, 2021;414;1;5;1;6;0;9
4/22/2020;December 3, 2021;306;0;0;0;6;0;5
4/23/2020;December 3, 2021;319;4;7;0;3;0;3
4/24/2020;December 3, 2021;405;1;3;0;3;0;8
4/25/2020;December 3, 2021;308;2;5;0;4;0;7
4/26/2020;December 3, 2021;295;0;0;0;2;0;8
4/27/2020;December 3, 2021;519;1;2;0;2;0;2
4/28/2020;December 3, 2021;447;7;9;0;2;0;7
4/29/2020;December 3, 2021;563;5;10;0;3;0;9
4/30/2020;December 3, 2021;449;14;17;1;5;0;2
5/1/2020;December 3, 2021;439;66;67;0;5;0;2
5/2/2020;December 3, 2021;424;35;37;0;4;0;4
5/3/2020;December 3, 2021;340;24;26;0;7;0;7
5/4/2020;December 3, 2021;349;19;19;0;7;0;4
5/5/2020;December 3, 2021;458;16;16;0;7;0;5
5/6/2020;December 3, 2021;584;8;9;0;9;0;7
5/7/2020;December 3, 2021;599;15;22;0;8;0;6
5/8/2020;December 3, 2021;750;97;101;0;7;0;4
5/9/2020;December 3, 2021;800;124;126;0;10;0;3
5/10/2020;December 3, 2021;800;20;24;0;9;0;10
